"Sample ID","Site","timestamp","sC_total_uS","Sample Type"
"RI23-1092","Hungerford",2023-04-02 08:00:00,45.9694816015766,"Grab/Isco"
"RI23-1093","Wade",2023-04-10 06:00:00,2.97378854802172,"Grab/Isco"
"RI23-1094","Wade",2023-04-10 12:00:00,2.95092651489906,"Grab/Isco"
"RI23-1095","Wade",2023-04-10 18:00:00,2.7371820840539,"Grab/Isco"
"RI23-1096","Wade",2023-04-11 00:00:00,2.61728234569935,"Grab/Isco"
"RI23-1097","Wade",2023-04-11 06:00:00,2.68730807497466,"Grab/Isco"
"RI23-1098","Wade",2023-04-11 12:00:00,0.740947769209697,"Grab/Isco"
"RI23-1099","Hungerford",2023-04-11 13:30:00,79.2658913837882,"Grab/Isco"
"RI23-1101","Wade",2023-04-12 00:00:00,2.51570089286901,"Grab/Isco"
"RI23-1102","Wade",2023-04-12 08:00:00,2.54849887275631,"Grab/Isco"
"RI23-1026","Hungerford",2023-02-15 14:00:00,61.604,"Grab/Isco"
"RI23-1027","Hungerford",2023-02-16 10:30:00,41.088,"Grab/Isco"
"RI23-1028","Wade",2023-02-16 14:00:00,2.14,"Grab/Isco"
"RI23-1028","Wade",2023-02-16 14:00:00,2.193,"Grab/Isco"
"RI23-1029","Wade",2023-02-16 20:00:00,2.185,"Grab/Isco"
"RI23-1030","Wade",2023-02-17 02:00:00,2.314,"Grab/Isco"
"RI23-1031","Wade",2023-02-17 08:00:00,2.35,"Grab/Isco"
"RI23-1032","Wade",2023-02-17 11:30:00,2.424,"Grab/Isco"
"RI23-1033","Hungerford",2023-02-17 13:30:00,47.756,"Grab/Isco"
"RI23-1034","Wade",2023-03-22 13:15:00,2.986,"Grab/Isco"
"RI23-1035","Hungerford",2023-03-22 15:00:00,74.013,"Grab/Isco"
"RI23-1036","Hungerford",2023-03-22 18:00:00,72.923,"Grab/Isco"
"RI23-1037","Hungerford",2023-03-23 00:00:00,59.921,"Grab/Isco"
"RI23-1038","Hungerford",2023-03-23 06:00:00,59.483,"Grab/Isco"
"RI23-1039","Wade",2023-03-22 18:00:00,3.035,"Grab/Isco"
"RI23-1040","Wade",2023-03-23 00:00:00,2.817,"Grab/Isco"
"RI23-1041","Wade",2023-03-23 06:00:00,2.936,"Grab/Isco"
"RI23-1042","Hungerford",2023-03-23 12:00:00,67.124,"Grab/Isco"
"RI23-1043","Hungerford",2023-03-23 18:00:00,48.071,"Grab/Isco"
"RI23-1044","Hungerford",2023-03-24 00:00:00,35.27,"Grab/Isco"
"RI23-1045","Hungerford",2023-03-24 06:00:00,40.9554705665459,"Grab/Isco"
"RI23-1046","Hungerford",2023-03-24 12:00:00,48.1027605442563,"Grab/Isco"
"RI23-1047","Hungerford",2023-03-24 15:45:00,50.6577269532578,"Grab/Isco"
"RI23-1048","Wade",2023-04-06 12:00:00,2.54354083798684,"Grab/Isco"
"RI23-1049","Wade",2023-04-07 00:00:00,2.4329819597062,"Grab/Isco"
"RI23-1050","Wade",2023-04-07 06:00:00,2.67492246592107,"Grab/Isco"
"RI23-1051","Wade",2023-04-07 12:00:00,2.76151556382695,"Grab/Isco"
"RI23-1052","Wade",2023-04-07 17:00:00,2.81775425783068,"Grab/Isco"
"RI23-1053","Hungerford",2023-03-24 18:00:00,2.84134282045503,"Isco"
"RI23-1055","Wade",2023-03-23 12:00:00,3.06234754819734,"Grab/Isco"
"RI23-1056","Wade",2023-03-23 18:00:00,2.9193953736759,"Grab/Isco"
"RI23-1057","Wade",2023-03-24 00:00:00,2.61990861299388,"Grab/Isco"
"RI23-1058","Wade",2023-03-24 06:00:00,2.79276294919897,"Grab/Isco"
"RI23-1059","Wade",2023-03-24 12:00:00,2.85943592405496,"Grab/Isco"
"RI23-1060","Wade",2023-03-28 12:00:00,3.00506645201399,"Grab/Isco"
"RI23-1061","Hungerford",2023-03-28 12:00:00,3.79845173546631,"SML"
"RI23-1063","Wade",2023-03-28 12:00:00,1.55540095692333,"SML"
"RI23-1064","Wade",2023-03-31 08:00:00,3.3426994202628,"Grab/Isco"
"RI23-1065","Wade",2023-03-31 14:00:00,3.16525197255548,"Grab/Isco"
"RI23-1066","Wade",2023-03-31 20:00:00,3.29287651939676,"Grab/Isco"
"RI23-1067","Wade",2023-04-01 02:00:00,3.30670089446216,"Grab/Isco"
"RI23-1068","Wade",2023-04-01 08:00:00,3.28474277740462,"Grab/Isco"
"RI23-1069","Wade",2023-04-01 14:00:00,3.13869842469273,"Grab/Isco"
"RI23-1070","Wade",2023-04-01 20:00:00,2.54824591895764,"Grab/Isco"
"RI23-1071","Wade",2023-04-02 02:00:00,2.62134977158031,"Grab/Isco"
"RI23-1072","Wade",2023-04-02 08:00:00,2.79307228121429,"Grab/Isco"
"RI23-1073","Wade",2023-04-02 14:00:00,2.83824105234232,"Grab/Isco"
"RI23-1074","Wade",2023-04-02 20:00:00,3.03642566658651,"Grab/Isco"
"RI23-1074","Wade",2023-04-02 20:00:00,3.00341924865535,"Grab/Isco"
"RI23-1075","Wade",2023-04-03 02:00:00,3.17043232236417,"Grab/Isco"
"RI23-1077","Wade",2023-04-03 14:00:00,3.61370211455859,"Grab/Isco"
"RI23-1078","Wade",2023-04-03 22:00:00,3.2042777994277,"Grab/Isco"
"RI23-1079","Wade",2023-04-04 06:00:00,3.07958874570706,"Grab/Isco"
"RI23-1080","Wade",2023-04-04 14:00:00,3.04866103041323,"Grab/Isco"
"RI23-1081","Wade",2023-04-05 14:00:00,3.07873494560916,"Grab/Isco"
