"","Timestamp","Temperature.SoilTemp_15cm@WW_pit7","Temperature.SoilTemp_30cm@WW_pit7","Temperature.SoilTemp_45cm@WW_pit7","Volumetric Water Content.VWC_15cm@WW_pit7"
"1",2021-10-01 01:00:00,12,12.6,13.9,0.171
"2",2021-10-01 01:30:00,12,12.6,13.9,0.172
"3",2021-10-01 02:00:00,11.9,12.5,13.9,0.172
"4",2021-10-01 02:30:00,11.9,12.5,13.9,0.171
"5",2021-10-01 03:00:00,11.9,12.5,13.9,0.172
"6",2021-10-01 03:30:00,11.9,12.5,13.9,0.172
"7",2021-10-01 04:00:00,11.9,12.5,13.9,0.172
"8",2021-10-01 04:30:00,11.8,12.5,13.9,0.172
"9",2021-10-01 05:00:00,11.8,12.5,13.8,0.172
"10",2021-10-01 05:30:00,11.8,12.5,13.8,0.172
"11",2021-10-01 06:00:00,11.8,12.5,13.8,0.172
"12",2021-10-01 06:30:00,11.8,12.5,13.8,0.172
"13",2021-10-01 07:00:00,11.8,12.5,13.8,0.172
"14",2021-10-01 07:30:00,11.8,12.5,13.8,0.172
"15",2021-10-01 08:00:00,11.8,12.4,13.8,0.172
"16",2021-10-01 08:30:00,11.8,12.4,13.8,0.172
"17",2021-10-01 09:00:00,11.8,12.4,13.7,0.172
"18",2021-10-01 09:30:00,11.8,12.4,13.7,0.172
"19",2021-10-01 10:00:00,11.8,12.4,13.7,0.172
"20",2021-10-01 10:30:00,11.8,12.4,13.7,0.172
"21",2021-10-01 11:00:00,11.8,12.4,13.7,0.172
"22",2021-10-01 11:30:00,11.8,12.4,13.7,0.172
"23",2021-10-01 12:00:00,11.8,12.4,13.7,0.172
"24",2021-10-01 12:30:00,11.8,12.4,13.7,0.172
"25",2021-10-01 13:00:00,11.9,12.4,13.7,0.172
"26",2021-10-01 13:30:00,11.9,12.3,13.7,0.172
"27",2021-10-01 14:00:00,11.9,12.3,13.7,0.172
"28",2021-10-01 14:30:00,11.9,12.3,13.6,0.172
"29",2021-10-01 15:00:00,12,12.3,13.6,0.172
"30",2021-10-01 15:30:00,12,12.3,13.6,0.172
"31",2021-10-01 16:00:00,12.1,12.3,13.7,0.172
"32",2021-10-01 16:30:00,12.1,12.3,13.6,0.172
"33",2021-10-01 17:00:00,12.1,12.3,13.6,0.172
"34",2021-10-01 17:30:00,12.2,12.3,13.6,0.172
"35",2021-10-01 18:00:00,12.2,12.3,13.6,0.172
"36",2021-10-01 18:30:00,12.2,12.3,13.6,0.172
"37",2021-10-01 19:00:00,12.2,12.3,13.6,0.172
"38",2021-10-01 19:30:00,12.3,12.3,13.6,0.172
"39",2021-10-01 20:00:00,12.3,12.3,13.6,0.172
"40",2021-10-01 20:30:00,12.3,12.3,13.6,0.172
"41",2021-10-01 21:00:00,12.3,12.3,13.6,0.172
"42",2021-10-01 21:30:00,12.3,12.3,13.6,0.172
"43",2021-10-01 22:00:00,12.3,12.3,13.6,0.172
"44",2021-10-01 22:30:00,12.3,12.3,13.6,0.172
"45",2021-10-01 23:00:00,12.3,12.3,13.6,0.172
"46",2021-10-01 23:30:00,12.3,12.3,13.6,0.172
"47",2021-10-02 00:00:00,12.3,12.3,13.5,0.172
"48",2021-10-02 00:30:00,12.2,12.3,13.6,0.172
"49",2021-10-02 01:00:00,12.3,12.3,13.6,0.172
"50",2021-10-02 01:30:00,12.2,12.3,13.5,0.172
"51",2021-10-02 02:00:00,12.2,12.3,13.5,0.172
"52",2021-10-02 02:30:00,12.2,12.3,13.5,0.172
"53",2021-10-02 03:00:00,12.2,12.3,13.5,0.172
"54",2021-10-02 03:30:00,12.2,12.3,13.5,0.172
"55",2021-10-02 04:00:00,12.2,12.3,13.5,0.172
"56",2021-10-02 04:30:00,12.2,12.3,13.5,0.173
"57",2021-10-02 05:00:00,12.2,12.3,13.5,0.173
"58",2021-10-02 05:30:00,12.2,12.3,13.5,0.173
"59",2021-10-02 06:00:00,12.2,12.3,13.5,0.173
"60",2021-10-02 06:30:00,12.2,12.3,13.5,0.174
"61",2021-10-02 07:00:00,12.2,12.3,13.5,0.174
"62",2021-10-02 07:30:00,12.2,12.3,13.5,0.174
"63",2021-10-02 08:00:00,12.2,12.3,13.5,0.174
"64",2021-10-02 08:30:00,12.2,12.3,13.5,0.174
"65",2021-10-02 09:00:00,12.2,12.3,13.5,0.174
"66",2021-10-02 09:30:00,12.1,12.3,13.5,0.175
"67",2021-10-02 10:00:00,12.1,12.3,13.5,0.176
"68",2021-10-02 10:30:00,12.1,12.3,13.5,0.176
"69",2021-10-02 11:00:00,12.1,12.3,13.5,0.176
"70",2021-10-02 11:30:00,12.1,12.3,13.5,0.177
"71",2021-10-02 12:00:00,12.1,12.3,13.5,0.178
"72",2021-10-02 12:30:00,12.1,12.3,13.5,0.179
"73",2021-10-02 13:00:00,12.2,12.3,13.5,0.18
"74",2021-10-02 13:30:00,12.1,12.3,13.4,0.181
"75",2021-10-02 14:00:00,12.2,12.3,13.5,0.182
"76",2021-10-02 14:30:00,12.2,12.3,13.4,0.183
"77",2021-10-02 15:00:00,12.2,12.3,13.4,0.185
"78",2021-10-02 15:30:00,12.2,12.3,13.4,0.186
"79",2021-10-02 16:00:00,12.2,12.3,13.4,0.188
"80",2021-10-02 16:30:00,12.2,12.3,13.4,0.191
"81",2021-10-02 17:00:00,12.2,12.3,13.4,0.193
"82",2021-10-02 17:30:00,12.2,12.3,13.4,0.196
"83",2021-10-02 18:00:00,12.2,12.3,13.4,0.198
"84",2021-10-02 18:30:00,12.2,12.2,13.4,0.2
"85",2021-10-02 19:00:00,12.2,12.3,13.4,0.201
"86",2021-10-02 19:30:00,12.3,12.2,13.4,0.202
"87",2021-10-02 20:00:00,12.3,12.2,13.4,0.203
"88",2021-10-02 20:30:00,12.3,12.3,13.4,0.204
"89",2021-10-02 21:00:00,12.3,12.2,13.4,0.204
"90",2021-10-02 21:30:00,12.3,12.2,13.4,0.205
"91",2021-10-02 22:00:00,12.3,12.2,13.4,0.205
"92",2021-10-02 22:30:00,12.3,12.2,13.4,0.206
"93",2021-10-02 23:00:00,12.3,12.2,13.4,0.206
"94",2021-10-02 23:30:00,12.3,12.2,13.4,0.206
"95",2021-10-03 00:00:00,12.4,12.2,13.4,0.206
"96",2021-10-03 00:30:00,12.4,12.2,13.4,0.207
"97",2021-10-03 01:00:00,12.4,12.3,13.4,0.207
"98",2021-10-03 01:30:00,12.4,12.3,13.4,0.207
"99",2021-10-03 02:00:00,12.4,12.3,13.4,0.207
"100",2021-10-03 02:30:00,12.4,12.3,13.4,0.207
"101",2021-10-03 03:00:00,12.5,12.2,13.4,0.207
"102",2021-10-03 03:30:00,12.5,12.2,13.4,0.207
"103",2021-10-03 04:00:00,12.5,12.2,13.3,0.207
"104",2021-10-03 04:30:00,12.5,12.3,13.4,0.209
"105",2021-10-03 05:00:00,12.5,12.3,13.4,0.209
"106",2021-10-03 05:30:00,12.5,12.2,13.4,0.21
"107",2021-10-03 06:00:00,12.5,12.3,13.3,0.212
"108",2021-10-03 06:30:00,12.5,12.3,13.4,0.252
"109",2021-10-03 07:00:00,12.5,12.3,13.4,0.251
"110",2021-10-03 07:30:00,12.5,12.3,13.3,0.247
"111",2021-10-03 08:00:00,12.5,12.3,13.4,0.247
"112",2021-10-03 08:30:00,12.5,12.3,13.3,0.251
"113",2021-10-03 09:00:00,12.5,12.3,13.3,0.249
"114",2021-10-03 09:30:00,12.5,12.3,13.4,0.236
"115",2021-10-03 10:00:00,12.5,12.3,13.3,0.23
"116",2021-10-03 10:30:00,12.5,12.3,13.4,0.229
"117",2021-10-03 11:00:00,12.5,12.3,13.3,0.228
"118",2021-10-03 11:30:00,12.5,12.3,13.3,0.23
"119",2021-10-03 12:00:00,12.5,12.3,13.3,0.245
"120",2021-10-03 12:30:00,12.6,12.3,13.3,0.264
"121",2021-10-03 13:00:00,12.6,12.3,13.3,0.267
"122",2021-10-03 13:30:00,12.6,12.3,13.3,0.27
"123",2021-10-03 14:00:00,12.6,12.3,13.3,0.272
"124",2021-10-03 14:30:00,12.7,12.3,13.3,0.274
"125",2021-10-03 15:00:00,12.7,12.3,13.3,0.276
"126",2021-10-03 15:30:00,12.7,12.3,13.3,0.265
"127",2021-10-03 16:00:00,12.7,12.3,13.3,0.252
"128",2021-10-03 16:30:00,12.7,12.3,13.3,0.249
"129",2021-10-03 17:00:00,12.7,12.3,13.3,0.248
"130",2021-10-03 17:30:00,12.8,12.3,13.3,0.246
"131",2021-10-03 18:00:00,12.8,12.3,13.3,0.245
"132",2021-10-03 18:30:00,12.8,12.3,13.3,0.245
"133",2021-10-03 19:00:00,12.8,12.3,13.3,0.244
"134",2021-10-03 19:30:00,12.9,12.3,13.3,0.244
"135",2021-10-03 20:00:00,12.9,12.3,13.3,0.243
"136",2021-10-03 20:30:00,12.9,12.3,13.3,0.243
"137",2021-10-03 21:00:00,12.9,12.3,13.3,0.243
"138",2021-10-03 21:30:00,12.9,12.3,13.3,0.243
"139",2021-10-03 22:00:00,12.9,12.3,13.3,0.242
"140",2021-10-03 22:30:00,12.9,12.3,13.3,0.242
"141",2021-10-03 23:00:00,12.9,12.3,13.3,0.241
"142",2021-10-03 23:30:00,12.9,12.4,13.3,0.241
"143",2021-10-04 00:00:00,12.9,12.4,13.3,0.24
"144",2021-10-04 00:30:00,12.9,12.4,13.3,0.24
"145",2021-10-04 01:00:00,12.9,12.4,13.3,0.239
"146",2021-10-04 01:30:00,13,12.4,13.2,0.239
"147",2021-10-04 02:00:00,13,12.4,13.2,0.239
"148",2021-10-04 02:30:00,13,12.4,13.3,0.239
"149",2021-10-04 03:00:00,13,12.4,13.2,0.238
"150",2021-10-04 03:30:00,13,12.4,13.2,0.238
"151",2021-10-04 04:00:00,13,12.4,13.2,0.238
"152",2021-10-04 04:30:00,13,12.4,13.3,0.238
"153",2021-10-04 05:00:00,13,12.4,13.3,0.238
"154",2021-10-04 05:30:00,13,12.4,13.3,0.238
"155",2021-10-04 06:00:00,13,12.4,13.3,0.238
"156",2021-10-04 06:30:00,13,12.4,13.3,0.237
"157",2021-10-04 07:00:00,13,12.4,13.3,0.237
"158",2021-10-04 07:30:00,13,12.4,13.3,0.237
"159",2021-10-04 08:00:00,13,12.4,13.3,0.237
"160",2021-10-04 08:30:00,13,12.4,13.3,0.237
"161",2021-10-04 09:00:00,13,12.4,13.3,0.237
"162",2021-10-04 09:30:00,13,12.4,13.3,0.237
"163",2021-10-04 10:00:00,13,12.4,13.3,0.237
"164",2021-10-04 10:30:00,13.1,12.4,13.3,0.237
"165",2021-10-04 11:00:00,13,12.4,13.3,0.237
"166",2021-10-04 11:30:00,13,12.5,13.3,0.237
"167",2021-10-04 12:00:00,13.1,12.5,13.3,0.236
"168",2021-10-04 12:30:00,13.1,12.5,13.3,0.236
"169",2021-10-04 13:00:00,13.1,12.5,13.3,0.236
"170",2021-10-04 13:30:00,13.1,12.5,13.3,0.236
"171",2021-10-04 14:00:00,13.1,12.5,13.3,0.236
"172",2021-10-04 14:30:00,13.1,12.5,13.3,0.236
"173",2021-10-04 15:00:00,13.1,12.5,13.3,0.236
"174",2021-10-04 15:30:00,13.1,12.5,13.3,0.236
"175",2021-10-04 16:00:00,13.2,12.5,13.3,0.236
"176",2021-10-04 16:30:00,13.2,12.5,13.3,0.236
"177",2021-10-04 17:00:00,13.2,12.5,13.3,0.236
"178",2021-10-04 17:30:00,13.2,12.5,13.3,0.236
