"TOA5","78920","CR1000","78920","CR1000.Std.28.02","CPU:UVM_Site2Pit2.CR1","44449","Table1"
"TIMESTAMP","RECORD","O2_mV_Avg(1)","O2_mV_Avg(2)","O2_mV_Avg(3)","SBTemp_C_Avg(1)","SBTemp_C_Avg(2)","SBTemp_C_Avg(3)","O2_Final_Avg(1)","O2_Final_Avg(2)","O2_Final_Avg(3)","CO2_mV_Avg(1)","CO2_mV_Avg(2)","CO2_mV_Avg(3)","CO2_Final_Avg(1)","CO2_Final_Avg(2)","CO2_Final_Avg(3)","VWC(1)","VWC(2)","VWC(3)","EC(1)","EC(2)","EC(3)","Temp5TE(1)","Temp5TE(2)","Temp5TE(3)","BattVolt_Avg"
"TS","RN","mV","mV","mV","C","C","C","%","%","%","ppm","ppm","ppm","ppm","ppm","ppm","m3/m3","m3/m3","m3/m3","dS/m","dS/m","dS/m","deg_C","deg_C","deg_C","Volts"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg"
"2024-05-29 20:15:00",240788,49.3178,31.65035,32.16111,14.31047,15.80888,14.77273,19.80472,12.54727,12.44412,35.75026,107.342,2505.554,2860.021,8587.363,200444.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.46954
"2024-05-29 20:30:00",240789,49.3728,31.51523,32.14772,14.06723,15.7576,14.75868,19.83464,12.49232,12.44034,36.2098,104.8166,2505.577,2896.784,8385.331,200446.1,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.47185
"2024-05-29 20:45:00",240790,49.42504,31.37928,32.15062,13.86224,15.71366,14.75326,19.86191,12.43636,12.4417,36.68949,102.5342,2505.547,2935.159,8202.738,200443.8,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.47558
"2024-05-29 21:00:00",240791,49.4762,31.28358,32.15282,13.67703,15.66648,14.75311,19.88967,12.39691,12.44263,36.96347,100.5251,2505.502,2957.078,8042.009,200440.2,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.47485
"2024-05-29 21:15:00",240792,49.50029,31.23137,32.15295,13.49189,15.62474,14.74858,19.90563,12.37606,12.44281,37.57991,99.45205,2505.502,3006.393,7956.164,200440.2,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.47262
"2024-05-29 21:30:00",240793,49.51736,30.84908,32.13588,13.3151,15.57719,14.74075,19.91749,12.21585,12.43541,37.99086,98.76712,2505.479,3039.269,7901.37,200438.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.46965
"2024-05-29 21:45:00",240794,49.48112,30.68747,32.09156,13.13218,15.53258,14.73582,19.9086,12.15011,12.41794,38.3105,97.96803,2505.479,3064.84,7837.443,200438.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.46742
"2024-05-29 22:00:00",240795,49.49094,30.67496,32.08821,12.95232,15.4826,14.72657,19.92152,12.14568,12.41632,38.42466,98.01369,2505.411,3073.972,7841.096,200432.9,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.46259
"2024-05-29 22:15:00",240796,49.47996,30.64021,32.08994,12.80548,15.43393,14.71282,19.92273,12.13379,12.41744,38.49315,97.21461,2505.434,3079.452,7777.169,200434.7,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.46036
"2024-05-29 22:30:00",240797,49.47915,30.73486,32.09016,12.67054,15.38521,14.70574,19.92453,12.17528,12.41772,39.26941,96.96347,2505.343,3141.552,7757.078,200427.4,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.45591
"2024-05-29 22:45:00",240798,49.51215,30.89873,32.09016,12.50127,15.33735,14.69742,19.94039,12.24295,12.41796,39.49771,96.52968,2505.251,3159.817,7722.375,200420.1,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.45144
"2024-05-29 23:00:00",240799,49.52695,31.05235,32.09016,12.40042,15.28775,14.69371,19.95202,12.31019,12.41807,39.58904,95.11415,2505.297,3167.123,7609.132,200423.7,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.44607
"2024-05-29 23:15:00",240800,49.5645,31.18435,32.09016,12.2784,15.24005,14.68733,19.97306,12.36592,12.41825,40.68493,94.20091,2505.16,3254.794,7536.073,200412.8,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.44547
"2024-05-29 23:30:00",240801,49.56905,31.24694,32.09016,12.18752,15.19283,14.6785,19.97816,12.3925,12.4185,40.45662,94.24657,2505.228,3236.53,7539.726,200418.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.44311
"2024-05-29 23:45:00",240802,49.58157,31.31408,32.0913,12.04874,15.14691,14.66786,19.98739,12.42383,12.4188,40.82191,93.78995,2505.183,3265.753,7503.196,200414.6,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.43804
"2024-05-30 00:00:00",240803,49.60319,31.44153,32.09016,11.91638,15.09933,14.66581,20.0022,12.47815,12.41933,41.46119,93.53881,2505.183,3316.895,7483.104,200414.6,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.4363
"2024-05-30 00:15:00",240804,49.61229,31.48477,32.11747,11.82529,15.05121,14.65846,20.01077,12.49904,12.42955,41.73516,92.76256,2504.749,3338.813,7421.005,200379.9,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.43125
"2024-05-30 00:30:00",240805,49.61229,31.56556,32.15161,11.74246,14.99817,14.64476,20.01041,12.53297,12.44518,42.00913,92.78539,2504.772,3360.73,7422.831,200381.7,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.42766
"2024-05-30 00:45:00",240806,49.59068,31.58263,32.15844,11.67699,14.94823,14.62775,19.99937,12.54151,12.44852,41.9863,91.96347,2504.863,3358.904,7357.078,200389,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.42289
"2024-05-30 01:00:00",240807,49.62481,31.53484,32.15844,11.57026,14.89637,14.61473,20.02297,12.52383,12.44889,42.39726,90.82191,2505.046,3391.781,7265.753,200403.7,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.42041
"2024-05-30 01:15:00",240808,49.65212,31.63953,32.15844,11.50667,14.84979,14.59975,20.03684,12.56812,12.44932,42.23744,90.18264,2504.909,3378.995,7214.611,200392.7,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.41745
"2024-05-30 01:30:00",240809,49.67602,31.50753,32.15844,11.49863,14.80305,14.5815,20.05057,12.51353,12.44984,42.78539,88.9726,2504.794,3422.831,7117.808,200383.5,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.41058
"2024-05-30 01:45:00",240810,49.68398,31.14225,32.15844,11.53149,14.76113,14.57215,20.05272,12.36183,12.45011,42.99086,88.99544,2504.909,3439.269,7119.634,200392.7,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.40798
"2024-05-30 02:00:00",240811,49.67374,31.4199,32.15957,11.55917,14.71899,14.56047,20.04545,12.4791,12.45139,42.85388,88.12785,2505,3428.31,7050.228,200400,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.40723
"2024-05-30 02:15:00",240812,49.62254,31.69415,32.15957,11.51687,14.67879,14.54498,20.02926,12.59632,12.45184,42.92237,88.12785,2504.817,3433.79,7050.228,200385.4,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.40166
"2024-05-30 02:30:00",240813,49.58385,31.86371,32.17664,11.42147,14.63777,14.52903,20.0117,12.66771,12.45992,42.69407,88.94978,2504.886,3415.525,7115.982,200390.9,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.39962
"2024-05-30 02:45:00",240814,49.62254,32.06171,32.19257,11.31107,14.58975,14.5188,20.03215,12.7522,12.46593,42.78539,88.65296,2504.612,3422.831,7092.237,200369,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.3933
"2024-05-30 03:00:00",240815,49.63733,31.9775,32.20964,11.21286,14.54601,14.5044,20.04258,12.71809,12.47301,42.46575,88.40182,2504.68,3397.26,7072.146,200374.4,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.3907
"2024-05-30 03:15:00",240816,49.63733,32.0105,32.22671,11.11328,14.50113,14.4831,20.04637,12.73276,12.48125,42.6484,88.15068,2504.68,3411.872,7052.055,200374.4,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.38773
"2024-05-30 03:30:00",240817,49.67147,32.16982,32.22671,11.04833,14.46118,14.47143,20.06229,12.80175,12.48159,42.76256,87.23744,2504.657,3421.004,6978.995,200372.6,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.38179
"2024-05-30 03:45:00",240818,49.66009,32.27451,32.22671,10.98927,14.41759,14.45237,20.05976,12.84696,12.48214,43.03653,87.57991,2504.612,3442.922,7006.393,200369,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.37881
"2024-05-30 04:00:00",240819,49.67261,32.36554,32.22671,10.91801,14.37811,14.4313,20.06875,12.88632,12.48275,43.15068,86.84931,2504.452,3452.055,6947.945,200356.2,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.37473
"2024-05-30 04:15:00",240820,49.70561,32.41106,32.22898,10.92735,14.33764,14.41288,20.08231,12.90995,12.48423,43.40183,86.3242,2504.566,3472.146,6905.936,200365.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.37566
"2024-05-30 04:30:00",240821,49.70561,32.52599,32.28475,10.87948,14.29822,14.39917,20.08417,12.95506,12.50845,43.44749,86.11872,2504.429,3475.799,6889.498,200354.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.38587
"2024-05-30 04:45:00",240822,49.70447,32.48844,32.29499,10.87111,14.26616,14.37934,20.08449,12.94119,12.51284,43.42466,85.70776,2504.498,3473.972,6856.621,200359.8,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.43658
"2024-05-30 05:00:00",240823,49.72837,32.59655,32.29499,10.88473,14.23658,14.37648,20.09404,12.98792,12.51292,43.6073,84.17809,2504.566,3488.584,6734.247,200365.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.53057
"2024-05-30 05:15:00",240824,49.82054,32.77407,32.29499,10.97351,14.22741,14.37014,20.12803,13.06319,12.51311,43.78996,83.01369,2504.543,3503.196,6641.096,200363.5,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,12.70741
"2024-05-30 05:30:00",240825,49.92181,33.1291,32.34847,11.20938,14.24005,14.37832,20.16221,13.21091,12.53526,43.83562,83.76712,2504.863,3506.849,6701.37,200389,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,13.0178
"2024-05-30 05:45:00",240826,49.97758,33.49553,32.36327,11.53294,14.26847,14.3937,20.17408,13.36437,12.54101,43.83562,84.88584,2505.365,3506.849,6790.868,200429.2,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,13.26793
"2024-05-30 06:00:00",240827,49.93637,33.79237,32.36311,11.78691,14.27708,14.3884,20.14739,13.48873,12.5411,43.9726,85.73059,2505.479,3517.808,6858.447,200438.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,13.32444
"2024-05-30 06:15:00",240828,49.8815,33.90895,32.35926,11.95886,14.29735,14.39011,20.1166,13.5366,12.53944,44.06392,86.64383,2505.525,3525.114,6931.507,200442,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.55
"2024-05-30 06:30:00",240829,49.93162,34.22601,32.37944,12.21429,14.38469,14.43458,20.12965,13.66811,12.54612,43.65297,86.09589,2505.548,3492.237,6887.671,200443.8,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,14.27008
"2024-05-30 06:45:00",240830,49.96442,34.51103,32.39035,12.55594,14.46262,14.46834,20.13261,13.78359,12.55019,43.72146,87.21461,2505.685,3497.717,6977.169,200454.8,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,14.45224
"2024-05-30 07:00:00",240831,49.93412,34.34129,32.38693,12.865,14.47387,14.46118,20.10891,13.71344,12.54896,43.56164,87.7169,2505.776,3484.931,7017.352,200462.1,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,14.18816
"2024-05-30 07:15:00",240832,49.86047,34.25881,32.38639,13.01538,14.48001,14.4487,20.07335,13.67912,12.5491,43.35575,88.264,2505.661,3468.46,7061.12,200452.9,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.9,14.31051
"2024-05-30 07:30:00",240833,49.90823,34.25766,32.38637,13.19887,14.51651,14.45672,20.08703,13.67615,12.54886,43.81267,87.87647,2505.838,3505.013,7030.118,200467,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,14.48287
"2024-05-30 07:45:00",240834,49.91392,34.4044,32.38637,13.3848,14.53945,14.44894,20.08057,13.7371,12.54908,44.20091,88.72146,2505.913,3536.073,7097.717,200473,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,14.49769
"2024-05-30 08:00:00",240835,49.92756,34.57504,32.38637,13.60543,14.55222,14.43918,20.08224,13.80884,12.54937,44.08627,88.97163,2505.726,3526.902,7117.729,200458.1,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,14.47103
"2024-05-30 08:15:00",240836,49.95145,34.64215,32.38637,13.89011,14.55924,14.42655,20.0845,13.83682,12.54973,44.03918,90.42986,2505.964,3523.134,7234.389,200477.1,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,14.45679
"2024-05-30 08:30:00",240837,49.95373,34.63988,32.38637,14.16249,14.57398,14.40384,20.07631,13.83401,12.55039,43.8098,91.08969,2505.971,3504.784,7287.175,200477.7,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,14.40733
"2024-05-30 08:45:00",240838,49.94804,34.91062,32.38637,14.45735,14.58801,14.38104,20.06479,13.94822,12.55105,43.75828,92.51551,2505.977,3500.662,7401.241,200478.2,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,14.35966
"2024-05-30 09:00:00",240839,49.91619,35.10628,32.38637,14.70211,14.60868,14.36649,20.04436,14.03024,12.55148,43.9129,94.58163,2505.82,3513.032,7566.53,200465.6,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,14.33912
"2024-05-30 09:15:00",240840,49.85601,36.61507,32.37547,14.96612,14.62892,14.35049,20.0107,14.66115,12.54357,43.61525,98.27695,2505.948,3489.22,7862.156,200475.8,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,14.30719
"2024-05-30 09:30:00",240841,49.87391,38.45878,32.33546,15.50304,14.65049,14.3405,20.00534,15.43596,12.53282,43.77497,104.0055,2505.855,3501.998,8320.44,200468.4,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,14.30124
"2024-05-30 09:45:00",240842,49.95449,38.04058,32.31566,16.15976,14.68494,14.32983,20.02333,15.25894,12.52294,43.63803,105.0325,2505.969,3491.043,8402.604,200477.5,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,14.27969
"2024-05-30 10:00:00",240843,49.88709,38.10231,32.31401,16.55593,14.71357,14.31299,19.98455,15.28692,12.52274,43.36415,110.7155,2505.969,3469.132,8857.243,200477.5,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,14.06314
"2024-05-30 10:15:00",240844,49.78943,38.00683,32.27135,16.83032,14.66883,14.2498,19.93811,15.24571,12.50674,43.29569,112.3588,2505.992,3463.655,8988.704,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.51573
"2024-05-30 10:30:00",240845,49.73822,37.65511,32.24363,17.17037,14.67416,14.21697,19.90716,15.09648,12.4961,43.84344,113.7738,2505.992,3507.476,9101.908,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.49172
"2024-05-30 10:45:00",240846,49.63183,37.96706,32.24102,17.44743,14.70783,14.19639,19.85695,15.22696,12.49561,43.98038,113.6825,2505.992,3518.431,9094.604,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.47389
"2024-05-30 11:00:00",240847,49.50201,38.95292,32.2409,17.55871,14.7514,14.1811,19.79944,15.64294,12.49602,43.66085,115.8051,2505.992,3492.868,9264.409,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.49282
"2024-05-30 11:15:00",240848,49.39424,38.70116,32.2396,17.49938,14.80445,14.17397,19.75569,15.53338,12.49568,43.52392,115.2345,2505.992,3481.913,9218.763,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.49561
"2024-05-30 11:30:00",240849,49.42644,37.90766,32.23983,17.4502,14.84499,14.16968,19.77028,15.20009,12.49591,43.4098,114.7324,2505.992,3472.784,9178.594,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.4828
"2024-05-30 11:45:00",240850,49.44317,37.66291,32.23961,17.42714,14.89298,14.16317,19.77781,15.09506,12.49601,43.52392,118.8178,2505.992,3481.913,9505.423,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.49412
"2024-05-30 12:00:00",240851,49.41819,37.86336,32.2389,17.44116,14.93751,14.15503,19.76698,15.1775,12.49595,43.59239,119.2743,2505.992,3487.391,9541.939,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.48336
"2024-05-30 12:15:00",240852,49.43907,37.2405,32.23917,17.49677,14.97979,14.14564,19.77561,14.91629,12.49634,43.68368,118.6808,2505.992,3494.695,9494.468,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.48113
"2024-05-30 12:30:00",240853,49.37277,36.95594,32.23894,17.38797,15.02252,14.14626,19.74894,14.79424,12.49623,43.75215,119.0004,2505.992,3500.172,9520.029,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.49338
"2024-05-30 12:45:00",240854,49.3947,36.29094,32.23915,17.30791,15.06218,14.14544,19.76033,14.51446,12.49635,44.41402,117.8364,2506.014,3553.122,9426.91,200481.2,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.50173
"2024-05-30 13:00:00",240855,49.43516,35.69749,32.23009,17.24882,15.09504,14.14523,19.77768,14.26444,12.49113,44.57379,118.1331,2505.992,3565.903,9450.646,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.50377
"2024-05-30 13:15:00",240856,49.40781,35.23004,32.21072,17.12293,15.12522,14.14523,19.76836,14.06739,12.48302,45.23566,118.3841,2505.992,3618.853,9470.731,200479.3,"NAN","NAN",0.343,0.08,4.3,0.13,17.2,12.7,13.8,13.49356
