# DOC.DOC@Potash_Brook.20221001.csv generated at 2026-01-13 16:34:07 (UTC-05:00) by AQUARIUS Time-Series 21.3.212.0
# 
# Time-series identifier: DOC.DOC@Potash Brook
# Location: NEWRnet Potash Brook
# UTC offset: (UTC-04:00)
# Value units: mg/l
# Value parameter: DOC
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from 2022-10-01T04:00:00Z to 2025-09-30T04:00:00Z
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC-04:00),Value,Approval Level,Grade,Qualifiers
2022-10-01T04:01:40Z,2022-10-01 00:01:40,-2,Working,0,
2022-10-01T05:01:40Z,2022-10-01 01:01:40,-2,Working,0,
2022-10-01T06:01:40Z,2022-10-01 02:01:40,-2,Working,0,
2022-10-01T07:01:40Z,2022-10-01 03:01:40,-2,Working,0,
2022-10-01T08:01:40Z,2022-10-01 04:01:40,-2,Working,0,
2022-10-01T09:01:40Z,2022-10-01 05:01:40,-2,Working,0,
2022-10-01T10:01:40Z,2022-10-01 06:01:40,-2,Working,0,
2022-10-01T11:01:40Z,2022-10-01 07:01:40,-2,Working,0,
2022-10-01T12:01:40Z,2022-10-01 08:01:40,-2,Working,0,
2022-10-01T13:01:40Z,2022-10-01 09:01:40,-2,Working,0,
2022-10-01T14:01:40Z,2022-10-01 10:01:40,-2,Working,0,
2022-10-01T15:01:40Z,2022-10-01 11:01:40,-2,Working,0,
2022-10-01T16:01:40Z,2022-10-01 12:01:40,-2,Working,0,
2022-10-01T17:01:40Z,2022-10-01 13:01:40,-2,Working,0,
2022-10-01T18:01:40Z,2022-10-01 14:01:40,-2,Working,0,
2022-10-01T19:01:40Z,2022-10-01 15:01:40,-2,Working,0,
2022-10-01T20:01:40Z,2022-10-01 16:01:40,-2,Working,0,
2022-10-01T21:01:40Z,2022-10-01 17:01:40,-2,Working,0,
2022-10-01T22:01:40Z,2022-10-01 18:01:40,-2,Working,0,
2022-10-01T23:01:40Z,2022-10-01 19:01:40,-2,Working,0,
2022-10-02T00:01:40Z,2022-10-01 20:01:40,-2,Working,0,
2022-10-02T01:01:40Z,2022-10-01 21:01:40,-2,Working,0,
2022-10-02T02:01:40Z,2022-10-01 22:01:40,-2,Working,0,
2022-10-02T03:01:40Z,2022-10-01 23:01:40,-2,Working,0,
2022-10-02T04:01:40Z,2022-10-02 00:01:40,-2,Working,0,
2022-10-02T05:01:40Z,2022-10-02 01:01:40,-2,Working,0,
2022-10-02T06:01:40Z,2022-10-02 02:01:40,-2,Working,0,
2022-10-02T07:01:40Z,2022-10-02 03:01:40,-2,Working,0,
2022-10-02T08:01:40Z,2022-10-02 04:01:40,-2,Working,0,
2022-10-02T09:01:40Z,2022-10-02 05:01:40,-2,Working,0,
2022-10-02T10:01:40Z,2022-10-02 06:01:40,-2,Working,0,
2022-10-02T11:01:40Z,2022-10-02 07:01:40,-2,Working,0,
2022-10-02T12:01:40Z,2022-10-02 08:01:40,-2,Working,0,
2022-10-02T13:01:40Z,2022-10-02 09:01:40,-2,Working,0,
2022-10-02T14:01:40Z,2022-10-02 10:01:40,-2,Working,0,
2022-10-02T15:01:40Z,2022-10-02 11:01:40,-2,Working,0,
2022-10-02T16:01:40Z,2022-10-02 12:01:40,-2,Working,0,
2022-10-02T17:01:40Z,2022-10-02 13:01:40,-2,Working,0,
2022-10-02T18:01:40Z,2022-10-02 14:01:40,-2,Working,0,
2022-10-02T19:01:40Z,2022-10-02 15:01:40,-2,Working,0,
2022-10-02T20:01:40Z,2022-10-02 16:01:40,-2,Working,0,
2022-10-02T21:01:40Z,2022-10-02 17:01:40,-2,Working,0,
2022-10-02T22:01:40Z,2022-10-02 18:01:40,-2,Working,0,
2022-10-02T23:01:40Z,2022-10-02 19:01:40,-2,Working,0,
2022-10-03T00:01:40Z,2022-10-02 20:01:40,-2,Working,0,
2022-10-03T01:01:40Z,2022-10-02 21:01:40,-2,Working,0,
2022-10-03T02:01:40Z,2022-10-02 22:01:40,-2,Working,0,
2022-10-03T03:01:40Z,2022-10-02 23:01:40,-2,Working,0,
2022-10-03T04:01:40Z,2022-10-03 00:01:40,-2,Working,0,
2022-10-03T05:01:40Z,2022-10-03 01:01:40,-2,Working,0,
2022-10-03T06:01:40Z,2022-10-03 02:01:40,-2,Working,0,
2022-10-03T07:01:40Z,2022-10-03 03:01:40,-2,Working,0,
2022-10-03T08:01:40Z,2022-10-03 04:01:40,-2,Working,0,
2022-10-03T09:01:40Z,2022-10-03 05:01:40,-2,Working,0,
2022-10-03T10:01:40Z,2022-10-03 06:01:40,-2,Working,0,
2022-10-03T11:01:40Z,2022-10-03 07:01:40,-2,Working,0,
2022-10-03T12:01:40Z,2022-10-03 08:01:40,-2,Working,0,
2022-10-03T13:01:40Z,2022-10-03 09:01:40,-2,Working,0,
2022-10-03T14:01:40Z,2022-10-03 10:01:40,-2,Working,0,
2022-10-03T15:01:40Z,2022-10-03 11:01:40,-2,Working,0,
2022-10-03T16:01:40Z,2022-10-03 12:01:40,-2,Working,0,
2022-10-03T17:01:40Z,2022-10-03 13:01:40,-2,Working,0,
2022-10-03T18:01:40Z,2022-10-03 14:01:40,-2,Working,0,
2022-10-03T19:01:40Z,2022-10-03 15:01:40,-2,Working,0,
2022-10-03T20:01:40Z,2022-10-03 16:01:40,-2,Working,0,
2022-10-03T21:01:40Z,2022-10-03 17:01:40,-2,Working,0,
2022-10-03T22:01:40Z,2022-10-03 18:01:40,-2,Working,0,
2022-10-03T23:01:40Z,2022-10-03 19:01:40,-2,Working,0,
2022-10-04T00:01:40Z,2022-10-03 20:01:40,-2,Working,0,
