Sample ID,Datetime,Site,Groundwater,Snowmelt lysimeter,Soil water lysimeter,Sum_Fractions,Groundwater_Uncertainty_95sig,Snowmelt lysimeter_Uncertainty_95sig,Soil water lysimeter_Uncertainty_95sig
RI23-1025,2023-02-15 12:00:00,Wade,0.42939182855075664,0.4651322375346168,0.10547593391462655,1.0,0.7581621717789686,1.6974739074395433,1.745472333384915
RI23-1009,2023-02-15 15:00:00,Wade,0.499576751738119,0.4829524978590557,0.017470750402825284,1.0,0.870152867240683,0.8701528671792494,6.5376130683877284e-12
RI23-1010,2023-02-15 19:00:00,Wade,0.4508785252053074,0.4311467285916979,0.11797474620299472,1.0,0.7596649899585357,1.6485209000399272,1.7039114272477451
RI23-1011,2023-02-15 23:00:00,Wade,0.4143326026595624,0.5856673973404365,1.131854266554596e-15,1.0,0.7227758481669134,0.7227758481280447,1.9204899494548608e-11
RI23-1012,2023-02-16 03:00:00,Wade,0.24574101242186897,0.46282616230352935,0.2914328252746018,1.0,0.5979522566021379,1.5998957570839454,1.5227071250993258
RI23-1014,2023-02-16 11:00:00,Wade,0.24914373679526025,0.557428045832198,0.19342821737254173,1.0,0.5511699630694487,1.5146696691618435,1.515293721476071
RI23-1028,2023-02-16 14:00:00,Wade,0.2370279711259494,0.5412120659075295,0.22175996296652117,1.0,0.5399173178571952,1.4226826313784946,1.4452014612826045
RI23-1029,2023-02-16 20:00:00,Wade,0.3131519169905672,0.6028081707218509,0.08403991228758202,1.0000000000000002,0.5428135521173093,1.4838029919495603,1.5020396412402908
RI23-1030,2023-02-17 02:00:00,Wade,0.26927680912505353,0.4893669401015449,0.2413562507734017,1.0000000000000002,0.6017223387633963,0.6017223387830645,2.287286733041145e-12
RI23-1031,2023-02-17 08:00:00,Wade,0.2841391579416881,0.5006258849991972,0.2152349570591146,1.0,0.5793410747983404,1.5239112041502687,1.5414261331255525
RI23-1032,2023-02-17 11:30:00,Wade,,,,0.0,0.5868488532053564,1.5077942236549835,1.5364724543421873
