Sample ID,Site,Type,Datetime,Groundwater,Soil water lysimeter,Snowmelt lysimeter,Sum Fractions
RI23-1009,Wade,Grab/Isco,2023-02-15 15:00:00,0.999999999999998,1.60982338570648E-15,6.10622663543836E-16,1
RI23-1010,Wade,Grab/Isco,2023-02-15 19:00:00,0.999999999999995,2.44249065417534E-15,2.33146835171283E-15,1
RI23-1011,Wade,Grab/Isco,2023-02-15 23:00:00,0.909082563185737,-1.11127651053161E-16,0.0909174368142627,1
RI23-1025,Wade,Grab,2023-02-15 12:00:00,1,-9.43689570931383E-16,-3.88578058618805E-16,1
RI23-1012,Wade,Grab/Isco,2023-02-16 03:00:00,0.52643344258447,6.11899311601938E-15,0.473566557415524,1
RI23-1014,Wade,Grab/Isco,2023-02-16 11:00:00,0.474323039575142,0.00477143201983185,0.520905528405026,1
RI23-1028,Wade,Grab/Isco,2023-02-16 14:00:00,0.481774973579635,2.55412282035988E-15,0.518225026420362,1
RI23-1029,Wade,Grab/Isco,2023-02-16 20:00:00,0.460265093844277,-1.24279384526582E-15,0.539734906155724,1
RI23-1030,Wade,Grab/Isco,2023-02-17 02:00:00,0.593589742456563,0.0539755259299706,0.352434731613467,1
RI23-1031,Wade,Grab/Isco,2023-02-17 08:00:00,0.544618042926546,4.11900133394679E-15,0.45538195707345,1
RI23-1032,Wade,Baseflow,2023-02-17 11:30:00,0.629814968933433,2.633814390543E-14,0.370185031066541,1
RI23-1039,Wade,Grab/Isco,2023-03-22 18:00:00,0.940948710063503,0.0590512899364953,1.46369514142143E-15,1
RI23-1040,Wade,Grab/Isco,2023-03-23 00:00:00,0.819191050978848,0.180808949021151,1.43127725959261E-16,1
RI23-1041,Wade,Grab/Isco,2023-03-23 06:00:00,0.659622982435051,0.34037701756495,-9.54097911787244E-16,1
RI23-1058,Wade,Grab/Isco,2023-03-24 06:00:00,-1.37537970461865E-15,0.435522766058961,0.56447723394104,1
RI23-1059,Wade,Grab/Isco,2023-03-24 12:00:00,0.0469973039696271,0.953002696030331,4.16125467417317E-14,1
RI23-1064,Wade,Grab/Isco,2023-03-31 08:00:00,0.910665456696755,0.0893345433032439,1.33324485324605E-15,1
RI23-1065,Wade,Grab/Isco,2023-03-31 14:00:00,0.818007784477811,0.117791115255809,0.0642011002663801,1
RI23-1066,Wade,Grab/Isco,2023-03-31 20:00:00,0.791441912562225,0.208558087437773,2.56749916466292E-15,1
RI23-1067,Wade,Grab/Isco,2023-04-01 02:00:00,0.805539978743876,0.194460021256125,-1.4698528852386E-15,1
RI23-1068,Wade,Grab/Isco,2023-04-01 08:00:00,0.903642482296494,0.0963575177035045,1.90891285202928E-15,1
RI23-1070,Wade,Grab/Isco,2023-04-01 20:00:00,4.85918015690256E-16,0.731393183215122,0.268606816784877,1
RI23-1093,Wade,Grab/Isco,2023-04-10 06:00:00,0.245431174578435,0.353017963889662,0.401550861531904,1
RI23-1094,Wade,Grab/Isco,2023-04-10 12:00:00,0.277356056970491,0.167751814543356,0.554892128486152,1
RI23-1095,Wade,Grab/Isco,2023-04-10 18:00:00,0.087648216329556,0.16791569968282,0.744436083987624,1
RI23-1097,Wade,Grab/Isco,2023-04-11 06:00:00,4.83934632242195E-16,0.161362230764795,0.838637769235204,1
RI23-1100,Wade,Grab/Isco,2023-04-11 16:00:00,4.55191440096314E-15,-2.4980018054066E-15,0.999999999999998,1
RI23-1101,Wade,Grab/Isco,2023-04-12 00:00:00,2.60902410786912E-15,-3.33066907387547E-16,0.999999999999998,1
RI23-1071,Wade,Grab/Isco,2023-04-02 02:00:00,1.23231098938861E-16,0.627334739587099,0.372665260412901,1
RI23-1072,Wade,Grab/Isco,2023-04-02 08:00:00,3.31969088701663E-13,0.870528772744275,0.129471227255393,1
RI23-1073,Wade,Grab/Isco,2023-04-02 14:00:00,1.82305832615091E-13,0.948900426778187,0.0510995732216302,1
RI23-1074,Wade,Grab/Isco,2023-04-02 20:00:00,-1.11022302462516E-16,1,1.66533453693773E-16,1
RI23-1075,Wade,Grab/Isco,2023-04-03 02:00:00,5.55111512312578E-17,1,-1.11022302462516E-16,1
RI23-1077,Wade,Grab/Isco,2023-04-03 14:00:00,0.249547393276211,0.350835029475252,0.399617577248537,1
RI23-1078,Wade,Grab/Isco,2023-04-03 22:00:00,0.146966848441927,0.834837442201265,0.0181957093568085,1
RI23-1080,Wade,Grab/Isco,2023-04-04 14:00:00,0.225491878833552,0.535044502557469,0.239463618608979,1
RI23-1081,Wade,Grab/Isco,2023-04-05 14:00:00,0.19660932387329,0.624550546271483,0.178840129855227,1
RI23-1082,Wade,Grab/Isco,2023-04-05 22:00:00,0.107509431767307,-2.11503449303041E-15,0.892490568232695,1
RI23-1048,Wade,Grab/Isco,2023-04-06 12:00:00,-9.99200722162641E-16,1.0547118733939E-15,1,1
RI23-1049,Wade,Grab/Isco,2023-04-07 00:00:00,0.0424586427373839,0.0287273702342653,0.928813987028351,1
RI23-1050,Wade,Grab/Isco,2023-04-07 06:00:00,-9.12260662707894E-16,0.0261277942573753,0.973872205742626,1
RI23-1051,Wade,Grab/Isco,2023-04-07 12:00:00,-7.4951156806424E-16,0.326713165837587,0.673286834162414,1
RI23-1052,Wade,Grab/Isco,2023-04-07 17:00:00,0.139774364406922,4.25939393001999E-15,0.860225635593074,1
